18:06:22.453 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
18:06:23.010 [main] INFO  c.b.launchers.LaunchMavenCommand - The maven properties for launcher are [archetypeArtifactId=browserstack-sdk-archetype-integrate, BROWSERSTACK_ACCESS_KEY=6hzG1Z4UsnCMqG1pxKXp, groupId=com.browserstack, BROWSERSTACK_APP=bs://sample.app, BROWSERSTACK_FRAMEWORK=java, version=1.0, PROJECT_NAME=BizupAppCloud, archetypeVersion=1.5, archetypeGroupId=com.browserstack, artifactId=java-archetype-integrate, BROWSERSTACK_USERNAME=shub_htp9lF, BUILD_NAME=browserstack build, BROWSERSTACK_SOURCE=java:appium-eclipse:v1.0.10]
18:07:02.310 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
18:07:02.310 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
18:07:02.313 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/BuyerAppAppiumFramworkCloud
18:07:02.314 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
18:07:02.315 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
18:07:02.318 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/BuyerAppAppiumFramworkCloud
18:23:04.680 [Worker-26: Launching BuyerAppAppiumFramworkCloud_testNGSuites.testng_Smoke.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
18:23:04.776 [Worker-26: Launching BuyerAppAppiumFramworkCloud_testNGSuites.testng_Smoke.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
18:23:04.780 [Worker-26: Launching BuyerAppAppiumFramworkCloud_testNGSuites.testng_Smoke.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
18:23:04.782 [Worker-26: Launching BuyerAppAppiumFramworkCloud_testNGSuites.testng_Smoke.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
18:35:56.337 [Worker-37: Launching BuyerAppAppiumFramworkCloud_testNGSuites.testng_Smoke.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
18:35:56.390 [Worker-37: Launching BuyerAppAppiumFramworkCloud_testNGSuites.testng_Smoke.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
18:35:56.397 [Worker-37: Launching BuyerAppAppiumFramworkCloud_testNGSuites.testng_Smoke.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
18:35:56.400 [Worker-37: Launching BuyerAppAppiumFramworkCloud_testNGSuites.testng_Smoke.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
18:42:01.253 [Worker-39: Launching BuyerAppAppiumFramworkCloud_testNGSuites.testng_Smoke.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
